ngram,search_word_dist,count,prop
speaker of the then,0.6818181818181819,1,1
speaker of the think,0.6818181818181819,1,1
speaker of the under,0.6818181818181819,1,1
speaker on the floor,0.6818181818181819,1,1
speaker on the last,0.6818181818181819,1,1
speaker on the make,0.6818181818181819,1,1
speaker on the the,0.6818181818181819,1,1
speaker on the whole,0.6818181818181819,1,1
speaker or the other,0.6818181818181819,1,1
speaker ot the they,0.6818181818181819,1,1
speaker put the sir,0.6818181818181819,1,1
speaker resume the chair,0.75,1,1
speaker resumes the chair,0.72,1,1
speaker resuming the chair,0.6923076923076923,1,1
speaker said the charge,0.6956521739130435,1,1
speaker said the commis,0.6521739130434783,1,1
speaker shall the third,0.6521739130434783,1,1
speaker some they said,0.6818181818181819,1,1
speaker t9ok the chair,0.9545454545454546,1,1
speaker take the he,0.6818181818181819,1,1
speaker take the whole,0.6818181818181819,1,1
speaker takes his chair,0.6956521739130435,1,1
speaker tbok the chair,0.9545454545454546,1,1
speaker teck the chair,0.9090909090909091,1,1
speaker tek the chair,0.9090909090909091,1,1
speaker tell them that,0.6818181818181819,1,1
speaker teok the chair,0.9545454545454546,1,1
speaker teook the chair,0.9565217391304348,1,1
speaker that he has,0.6818181818181819,1,1
speaker that the a,0.6818181818181819,1,1
speaker that the act,0.6818181818181819,1,1
speaker that the action,0.6521739130434783,1,1
speaker that the author,0.6521739130434783,1,1
speaker that the canadian,0.6799999999999999,1,1
speaker that the case,0.7272727272727273,1,1
speaker that the catholie,0.6799999999999999,1,1
speaker that the chairman,0.76,1,1
speaker that the chief,0.7272727272727273,1,1
speaker that the con,0.6818181818181819,1,1
speaker that the debate,0.6521739130434783,1,1
speaker that the fact,0.6818181818181819,1,1
speaker that the failure,0.6666666666666667,1,1
speaker that the favour,0.6521739130434783,1,1
speaker that the fears,0.6818181818181819,1,1
speaker that the haif,0.7727272727272727,1,1
speaker that the high,0.6818181818181819,1,1
speaker that the hne,0.6818181818181819,1,1
speaker that the honor,0.6818181818181819,1,1
speaker that the i,0.6818181818181819,1,1
speaker that the im,0.6818181818181819,1,1
speaker that the in,0.6818181818181819,1,1
speaker that the jway,0.6818181818181819,1,1
speaker that the last,0.6818181818181819,1,1
speaker that the late,0.6818181818181819,1,1
speaker that the limit,0.6818181818181819,1,1
speaker that the loan,0.6818181818181819,1,1
speaker that the made,0.6818181818181819,1,1
speaker that the ohange,0.6956521739130435,1,1
speaker that the papers,0.6521739130434783,1,1
speaker that the report,0.6521739130434783,1,1
speaker that the return,0.6521739130434783,1,1
speaker that the road,0.6818181818181819,1,1
speaker that the said,0.7272727272727273,1,1
speaker that the sanie,0.6818181818181819,1,1
speaker that the sooner,0.6521739130434783,1,1
speaker that the state,0.6818181818181819,1,1
speaker that the states,0.6521739130434783,1,1
speaker that the tenure,0.6521739130434783,1,1
speaker that the that,0.7272727272727273,1,1
speaker that the then,0.6818181818181819,1,1
speaker that the thing,0.6818181818181819,1,1
speaker that the timie,0.6818181818181819,1,1
speaker that the trary,0.6818181818181819,1,1
speaker that the treaty,0.6521739130434783,1,1
speaker that the way,0.6818181818181819,1,1
speaker that there shall,0.6666666666666667,1,1
speaker that these charges,0.6538461538461539,1,1
speaker that they cab,0.6818181818181819,1,1
speaker that they can,0.6818181818181819,1,1
speaker that they have,0.6818181818181819,1,1
speaker the he had,0.6818181818181819,1,1
speaker the the hands,0.6818181818181819,1,1
speaker then the aet,0.6818181818181819,1,1
